SATM,SATV,ACT,GPA
540,560,24,1.704
530,280,20,1.789
430,370,18,1.913
770,610,29,2.01
420,440,25,2.031
670,460,27,2.048
520,530,23,2.075
440,450,19,2.08
470,500,22,2.097
610,610,29,2.121
410,450,17,2.155
530,520,26,2.199
620,530,21,2.208
430,470,15,2.239
540,610,27,2.275
600,660,28,2.452
600,710,28,2.453
660,740,32,2.456
560,350,16,2.488
410,470,24,2.496
590,580,26,2.496
580,490,22,2.507
690,600,26,2.513
610,630,23,2.528
700,800,34,2.534
620,600,30,2.586
640,480,24,2.607
510,540,20,2.608
700,610,29,2.645
550,410,18,2.664
590,620,22,2.665
370,480,19,2.67
520,530,23,2.673
720,630,31,2.707
710,740,32,2.708
430,460,17,2.712
560,430,21,2.716
700,640,32,2.721
480,530,26,2.732
610,650,29,2.738
580,550,26,2.784
540,470,19,2.796
510,520,19,2.798
690,620,29,2.827
650,620,29,2.828
590,500,24,2.829
780,560,25,2.852
660,560,31,2.857
640,660,29,2.864
490,460,20,2.913
470,480,23,2.92
680,670,30,2.925
570,320,18,2.932
610,680,29,2.94
610,660,29,2.943
440,450,18,2.953
450,530,23,2.963
610,650,28,2.972
610,530,28,2.976
500,630,24,2.978
400,330,17,2.982
570,670,30,2.983
560,610,26,2.989
610,630,27,3.015
580,660,26,3.016
480,570,23,3.025
620,570,26,3.03
580,620,29,3.03
520,610,24,3.039
490,500,20,3.044
710,600,25,3.061
520,600,26,3.1
540,630,27,3.105
650,570,27,3.126
570,590,28,3.127
660,570,26,3.128
550,650,30,3.134
630,700,26,3.145
620,560,25,3.146
410,600,22,3.153
790,730,33,3.154
610,670,27,3.167
640,700,31,3.178
570,570,23,3.183
520,630,24,3.19
510,460,21,3.202
650,600,27,3.204
630,610,26,3.222
560,520,27,3.222
590,660,31,3.236
520,480,21,3.244
620,570,27,3.254
600,480,22,3.26
510,540,23,3.262
690,580,27,3.284
600,590,28,3.287
670,650,32,3.288
600,650,29,3.301
770,670,32,3.303
520,560,24,3.311
560,520,23,3.315
560,580,22,3.316
720,590,25,3.317
630,490,24,3.319
640,690,29,3.319
650,630,27,3.324
770,730,34,3.325
550,590,23,3.326
630,490,27,3.327
750,650,30,3.33
660,680,30,3.344
490,540,20,3.365
690,350,21,3.366
720,720,34,3.37
490,560,25,3.371
580,620,25,3.399
650,690,33,3.401
680,690,30,3.406
620,600,27,3.407
670,630,30,3.407
650,490,22,3.409
570,610,27,3.41
520,600,28,3.413
630,620,28,3.424
730,580,32,3.433
580,520,24,3.441
600,580,28,3.441
540,430,21,3.442
610,560,23,3.452
630,570,28,3.457
560,540,23,3.463
660,640,29,3.464
490,500,23,3.465
750,650,30,3.469
520,610,26,3.471
670,620,27,3.475
550,630,27,3.479
550,700,26,3.48
680,700,31,3.483
580,580,26,3.485
700,680,31,3.485
540,560,24,3.487
700,760,31,3.493
570,570,29,3.5
530,560,28,3.502
490,560,26,3.522
660,710,30,3.527
650,490,29,3.528
730,590,28,3.534
690,590,33,3.535
640,670,34,3.536
680,680,29,3.538
590,640,30,3.544
550,660,28,3.563
480,520,25,3.564
580,570,29,3.575
670,540,27,3.58
610,650,31,3.593
620,760,32,3.593
600,670,25,3.594
540,630,29,3.594
630,650,32,3.598
550,580,28,3.605
660,710,31,3.61
730,600,25,3.613
610,570,27,3.618
620,570,27,3.618
660,630,31,3.618
700,630,31,3.62
580,550,26,3.621
470,710,27,3.625
520,640,26,3.631
590,570,26,3.638
710,720,33,3.642
710,730,33,3.643
600,540,27,3.646
610,630,28,3.647
650,630,29,3.649
800,750,32,3.653
550,650,23,3.657
550,590,24,3.659
660,630,28,3.66
570,720,30,3.662
620,630,29,3.665
580,550,23,3.667
490,640,25,3.672
690,680,32,3.676
700,670,29,3.677
620,600,24,3.684
620,560,26,3.686
580,540,26,3.695
510,520,25,3.698
640,600,30,3.707
640,620,29,3.712
610,540,27,3.735
660,780,31,3.737
640,710,31,3.745
610,590,28,3.75
660,560,26,3.751
760,750,34,3.757
640,720,31,3.76
710,700,31,3.763
690,680,32,3.764
580,650,28,3.765
800,680,34,3.765
640,580,30,3.768
580,560,27,3.77
720,680,27,3.78
690,700,32,3.78
760,720,32,3.784
690,680,31,3.791
590,730,28,3.792
660,610,31,3.794
730,610,30,3.8
530,510,26,3.803
530,640,27,3.804
690,750,31,3.811
600,670,31,3.812
690,660,31,3.813
600,710,28,3.821
790,660,34,3.821
690,750,32,3.823
680,720,33,3.824
670,570,27,3.83
670,700,27,3.83
740,740,34,3.833
640,640,29,3.838
590,720,28,3.847
690,720,32,3.851
710,590,29,3.854
670,650,34,3.872
710,630,33,3.874
710,670,28,3.877
690,630,30,3.877
750,730,35,3.882
640,730,34,3.885
760,590,31,3.887
790,780,35,3.887
800,720,33,3.888
790,760,34,3.889
690,800,34,3.894
710,640,29,3.898
700,580,33,3.898
660,730,32,3.909
660,690,32,3.909
670,620,32,3.91
700,680,35,3.911
700,640,31,3.912
620,730,33,3.916
680,630,29,3.919
800,630,33,3.925
790,710,34,3.928
640,670,29,3.929
780,800,32,3.929
720,650,27,3.934
730,690,33,3.936
650,720,32,3.941
700,700,32,3.942
710,750,32,3.943
750,800,34,3.944
560,670,30,3.947
730,750,31,3.947
690,630,31,3.954
700,760,30,3.975
710,730,33,3.98
720,770,35,3.981
720,700,30,3.987
770,650,31,3.988
730,730,30,3.989
700,670,30,3.992
710,680,32,4
